Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
134564921,Add New Booking,"@booking, @busschedule",2,28-Nov-16,4-Dec-16,feature,2,unstarted,17-Nov-16,,,Lee Xing Yi,The customers can make booking based on the bus schedule they selected.,https://www.pivotaltracker.com/story/show/134564921,LIM KIAN WEI,create database,completed,create ui,completed,connect database and ui to add records,uncompleted,retrieve schedule,uncompleted,add booking date,uncompleted,add quantity of seat,uncompleted,add seat number,uncompleted,,,,,,,,,,,,
134595453,Add New Payment,"@booking, @payment",2,28-Nov-16,4-Dec-16,feature,2,unstarted,17-Nov-16,,,KYLIM,The customers can make payment once confirm the booking details. ,https://www.pivotaltracker.com/story/show/134595453,KYLIM,create database,completed,create ui,completed,retrieve booking details,uncompleted,create new payment and update to the database,uncompleted,verify the payment details which is entered by the customers,uncompleted,add payment date,uncompleted,add payment type,uncompleted,add payment amount,uncompleted,add card number,uncompleted,add card holder name,uncompleted,add card expiry date,uncompleted,add card type,uncompleted,add card bank,uncompleted
134595285,View All Booking History,@booking,2,21-Nov-16,4-Dec-16,feature,2,started,17-Nov-16,,,KYLIM,The customers can view all the booking history where booking status is complete.,https://www.pivotaltracker.com/story/show/134595285,KYLIM,create database,completed,create ui,completed,retrieve all booking where booking status is complete,uncompleted,display all booking in table form,uncompleted,,,,,,,,,,,,,,,,,,
134595763,Add New Staff,@staff,2,28-Nov-16,4-Dec-16,feature,2,unstarted,17-Nov-16,,,Lim Zhen Ming,The manager can add the new staff into the database.,https://www.pivotaltracker.com/story/show/134595763,Lim Zhen Ming,create database,completed,create ui,completed,connect database and ui to add records,uncompleted,verify the data which is not duplicate such as staff IC number,uncompleted,add staff name,uncompleted,add staff ic,uncompleted,add staff email,uncompleted,add staff birthday,uncompleted,add staff contact number,uncompleted,,,,,,,,
134596161,View All Staff Details,@staff,2,21-Nov-16,4-Dec-16,feature,2,started,17-Nov-16,,,Lim Zhen Ming,The manager can view all the staff information who work in the company.,https://www.pivotaltracker.com/story/show/134596161,Lim Zhen Ming,create database,completed,create ui,completed,retrieve all staff,uncompleted,display all staff in table form,uncompleted,,,,,,,,,,,,,,,,,,
134596519,Add New Bus Schedule ,@busschedule,2,28-Nov-16,4-Dec-16,feature,2,unstarted,17-Nov-16,,,Lee Xing Yi,The staff can add the new bus schedule into the database.,https://www.pivotaltracker.com/story/show/134596519,Lee Xing Yi,create database,completed,create ui,completed,connect database and ui to add records,uncompleted,verify the departure place and location cannot be same,uncompleted,add schedule departure date,uncompleted,add schedule departure time,uncompleted,add schedule departure place,uncompleted, add destination,uncompleted,add schedule price,uncompleted,assign bus,uncompleted,,,,,,
134596999,View All Bus Schedule,@busschedule,2,21-Nov-16,4-Dec-16,feature,2,started,17-Nov-16,,,Lee Xing Yi,The staff can view all the bus schedule details with the sort function.,https://www.pivotaltracker.com/story/show/134596999,Lee Xing Yi,create database,completed,create ui,completed,retrieve all bus schedule,uncompleted,display all bus schedule in table form,uncompleted,,,,,,,,,,,,,,,,,,
136127049,Add New Bus,@bus,2,28-Nov-16,4-Dec-16,feature,2,unstarted,17-Nov-16,,,John,This module will allow the user to add new bus information into the database.,https://www.pivotaltracker.com/story/show/136127049,John,create database,completed,create ui,completed,add bus plate number,uncompleted,add bus type,uncompleted,add bus status,uncompleted,add bus model,uncompleted,add bus total seat,uncompleted,add bus purchase date,uncompleted,,,,,,,,,,
136127255,View All Bus Detail,@bus,2,21-Nov-16,4-Dec-16,feature,2,started,17-Nov-16,,,John,This sub-module will allow the user to search the bus details by using the bus number plate.,https://www.pivotaltracker.com/story/show/136127255,John,create database,completed,create ui,completed,retrieve all bus,uncompleted,display all bus in table form,uncompleted,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
